timestamp,src_ip,dst_ip,src_mac,dst_mac,protocol,length,info,label,packets_per_second,src_port,dst_port,attack_label
1755953615.2251022,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,141,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,normal,20643.89091731018,14551.0,14550.0,normal
1755953615.2251103,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),normal,23429.481809150788,,,normal
1755953615.264541,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,122,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,normal,23427.483470877443,14551.0,14550.0,normal
1755953615.264553,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),normal,24705.557026786293,,,normal
1755953615.287574,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,144,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,normal,24702.981585442958,14551.0,14550.0,normal
1755953615.287594,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),normal,23166.60649386787,,,normal
1755953615.2985935,,,a0:14:3d:ed:92:14,ff:ff:ff:ff:ff:ff,802.11,207,"Beacon Frame, SSID='Hidden'",normal,23169.68465430433,,,normal
1755953615.305586,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,115,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,normal,23176.08391775969,14551.0,14550.0,normal
1755953615.3056197,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),normal,24662.058951246032,,,normal
1755953615.326222,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,141,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,normal,24610.60221464551,14551.0,14550.0,normal
1755953615.3262484,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),normal,26463.96894433817,,,normal
1755953615.3478608,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,143,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,normal,21700.027884967305,14551.0,14550.0,normal
1755953615.3478682,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),normal,28460.560603192833,,,normal
1755953615.3706734,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,141,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,normal,23347.74820622129,14551.0,14550.0,normal
1755953615.3707144,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),normal,24563.334546462156,,,normal
1755953615.4020784,,,a0:14:3d:ed:92:14,ff:ff:ff:ff:ff:ff,802.11,207,"Beacon Frame, SSID='Hidden'",normal,24239.284012206233,,,normal
1755953615.4949026,,,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,802.11,66,RadioTap / 802.11 Data QoS Null (no data) 38:fc:98:e9:e3:50 (TA=SA) > a0:14:3d:ed:92:14 (RA=BSSID) / Dot11QoS,normal,24239.157007842343,,,normal
